seed,survival_A,survival_B,survival_C,avg_cluster_A,max_cluster_A,num_clusters_A,avg_cluster_B,max_cluster_B,num_clusters_B,avg_cluster_C,max_cluster_C,num_clusters_C
1,0.2,0.35,0.71,1.0,1,20,1.3461538461538463,3,26,4.176470588235294,9,17
2,0.26,0.57,0.76,1.0,1,26,1.9,8,30,3.8,9,20
3,0.26,0.41,0.78,1.0,1,26,1.4137931034482758,6,29,4.333333333333333,8,18
4,0.22,0.49,0.75,1.0,1,22,1.53125,7,32,3.75,7,20
5,0.11,0.64,0.81,1.0,1,11,1.7777777777777777,6,36,4.05,10,20
6,0.22,0.44,0.74,1.0,1,22,1.5714285714285714,4,28,4.352941176470588,9,17
7,0.17,0.53,0.65,1.0,1,17,1.4722222222222223,6,36,3.611111111111111,9,18
8,0.29,0.47,0.77,1.0,1,29,1.5161290322580645,4,31,4.529411764705882,9,17
9,0.31,0.42,0.75,1.0,1,31,1.5555555555555556,6,27,4.166666666666667,9,18
10,0.17,0.54,0.68,1.0,1,17,1.6875,4,32,3.5789473684210527,7,19
11,0.26,0.47,0.79,1.0,1,26,2.1363636363636362,7,22,4.647058823529412,12,17
12,0.23,0.42,0.71,1.0,1,23,1.9090909090909092,9,22,4.4375,12,16
13,0.23,0.47,0.84,1.0,1,23,1.3823529411764706,5,34,3.8181818181818183,9,22
14,0.25,0.42,0.65,1.0,1,25,1.4482758620689655,5,29,3.823529411764706,6,17
15,0.17,0.48,0.67,1.0,1,17,1.6551724137931034,5,29,3.9411764705882355,9,17
16,0.3,0.47,0.75,1.0,1,30,1.8076923076923077,6,26,3.5714285714285716,9,21
17,0.24,0.45,0.72,1.0,1,24,1.4516129032258065,4,31,4.235294117647059,9,17
18,0.11,0.59,0.69,1.0,1,11,1.903225806451613,6,31,4.0588235294117645,9,17
19,0.28,0.47,0.67,1.0,1,28,1.5666666666666667,6,30,3.35,6,20
20,0.23,0.5,0.74,1.0,1,23,1.7857142857142858,6,28,4.352941176470588,10,17
