seed,survival_A,survival_B,survival_C,avg_cluster_A,max_cluster_A,num_clusters_A,avg_cluster_B,max_cluster_B,num_clusters_B,avg_cluster_C,max_cluster_C,num_clusters_C
1,0.15,0.68,0.58,1.0,1,15,1.5454545454545454,4,44,1.5263157894736843,5,38
2,0.2,0.77,0.51,1.0,1,20,1.4528301886792452,5,53,1.3421052631578947,5,38
3,0.24,0.71,0.58,1.0,1,24,1.42,5,50,1.6111111111111112,6,36
4,0.21,0.74,0.56,1.0,1,21,1.3962264150943395,4,53,1.4,4,40
5,0.19,0.72,0.49,1.0,1,19,1.5319148936170213,4,47,1.3243243243243243,5,37
6,0.22,0.77,0.52,1.0,1,22,1.5714285714285714,4,49,1.3,5,40
7,0.12,0.8,0.41,1.0,1,12,1.4035087719298245,4,57,1.28125,2,32
8,0.14,0.76,0.49,1.0,1,14,1.4615384615384615,6,52,1.3243243243243243,3,37
9,0.21,0.71,0.52,1.0,1,21,1.3148148148148149,5,54,1.4857142857142858,3,35
10,0.24,0.68,0.53,1.0,1,24,1.4166666666666667,6,48,1.2926829268292683,4,41
11,0.19,0.68,0.54,1.0,1,19,1.2142857142857142,3,56,1.35,3,40
12,0.14,0.82,0.45,1.0,1,14,1.490909090909091,4,55,1.2162162162162162,5,37
13,0.18,0.8,0.49,1.0,1,18,1.4814814814814814,4,54,1.4411764705882353,3,34
14,0.16,0.79,0.43,1.0,1,16,1.462962962962963,5,54,1.303030303030303,3,33
15,0.17,0.82,0.5,1.0,1,17,1.4642857142857142,3,56,1.4285714285714286,5,35
16,0.18,0.83,0.48,1.0,1,18,1.4067796610169492,7,59,1.2307692307692308,5,39
17,0.2,0.83,0.48,1.0,1,20,1.7659574468085106,7,47,1.263157894736842,3,38
18,0.25,0.72,0.53,1.0,1,25,1.6744186046511629,6,43,1.394736842105263,4,38
19,0.18,0.81,0.43,1.0,1,18,1.975609756097561,5,41,1.303030303030303,4,33
20,0.15,0.78,0.52,1.0,1,15,1.3928571428571428,4,56,1.3333333333333333,8,39
