seed,survival_A,survival_B,survival_C,avg_cluster_A,max_cluster_A,num_clusters_A,avg_cluster_B,max_cluster_B,num_clusters_B,avg_cluster_C,max_cluster_C,num_clusters_C
1,0.71,0.14,0.69,1.0,1,71,1.0769230769230769,2,13,4.0588235294117645,15,17
2,0.68,0.15,0.72,1.0,1,68,1.25,4,12,3.6,8,20
3,0.75,0.13,0.72,1.0,1,75,1.1818181818181819,2,11,4.5,12,16
4,0.78,0.09,0.65,1.0,1,78,1.0,1,9,3.25,7,20
5,0.71,0.19,0.78,1.0,1,71,1.3571428571428572,3,14,4.875,10,16
6,0.79,0.07,0.66,1.0,1,79,1.0,1,7,3.8823529411764706,13,17
7,0.84,0.08,0.59,1.0,1,84,1.0,1,8,2.95,8,20
8,0.77,0.07,0.61,1.0,1,77,1.0,1,7,3.05,6,20
9,0.85,0.14,0.71,1.0,1,85,1.0,1,14,4.176470588235294,9,17
10,0.68,0.18,0.67,1.0,1,68,1.2857142857142858,3,14,3.9411764705882355,8,17
11,0.8,0.12,0.76,1.0,1,80,1.0909090909090908,2,11,3.3043478260869565,8,23
12,0.68,0.14,0.7,1.0,1,68,1.0769230769230769,2,13,3.6842105263157894,12,19
13,0.8,0.11,0.82,1.0,1,80,1.0,1,11,4.315789473684211,7,19
14,0.82,0.11,0.6,1.0,1,82,1.0,1,11,3.1578947368421053,6,19
15,0.78,0.14,0.65,1.0,1,78,1.2727272727272727,3,11,3.611111111111111,8,18
16,0.79,0.13,0.71,1.0,1,79,1.0,1,13,3.55,13,20
17,0.72,0.1,0.69,1.0,1,72,1.0,1,10,3.8333333333333335,9,18
18,0.72,0.17,0.68,1.0,1,72,1.1333333333333333,3,15,3.7777777777777777,9,18
19,0.77,0.1,0.66,1.0,1,77,1.0,1,10,3.473684210526316,8,19
20,0.77,0.15,0.69,1.0,1,77,1.25,2,12,4.0588235294117645,11,17
