seed,survival_A,survival_B,survival_C,avg_cluster_A,max_cluster_A,num_clusters_A,avg_cluster_B,max_cluster_B,num_clusters_B,avg_cluster_C,max_cluster_C,num_clusters_C
1,0.77,0.14,0.7,1.0,1,77,1.0769230769230769,2,13,3.6842105263157894,12,19
2,0.67,0.24,0.74,1.0,1,67,1.6,8,15,3.5238095238095237,10,21
3,0.75,0.1,0.71,1.0,1,75,1.1111111111111112,2,9,3.736842105263158,12,19
4,0.79,0.11,0.69,1.0,1,79,1.0,1,11,3.45,8,20
5,0.79,0.15,0.77,1.0,1,79,1.5,3,10,5.133333333333334,12,15
6,0.81,0.07,0.67,1.0,1,81,1.0,1,7,3.9411764705882355,12,17
7,0.72,0.11,0.59,1.0,1,72,1.1,2,10,3.2777777777777777,5,18
8,0.84,0.09,0.62,1.0,1,84,1.0,1,9,3.4444444444444446,8,18
9,0.77,0.13,0.7,1.0,1,77,1.0833333333333333,2,12,4.117647058823529,8,17
10,0.7,0.15,0.61,1.0,1,70,1.1538461538461537,3,13,4.066666666666666,8,15
11,0.72,0.16,0.77,1.0,1,72,1.0666666666666667,2,15,3.6666666666666665,12,21
12,0.68,0.12,0.68,1.0,1,68,1.0909090909090908,2,11,3.7777777777777777,12,18
13,0.73,0.07,0.8,1.0,1,73,1.0,1,7,4.0,7,20
14,0.83,0.09,0.6,1.0,1,83,1.0,1,9,3.3333333333333335,7,18
15,0.79,0.06,0.59,1.0,1,79,1.0,1,6,3.4705882352941178,7,17
16,0.75,0.08,0.66,1.0,1,75,1.0,1,8,3.473684210526316,10,19
17,0.72,0.14,0.68,1.0,1,72,1.0769230769230769,2,13,3.4,8,20
18,0.76,0.17,0.66,1.0,1,76,1.2142857142857142,3,14,3.6666666666666665,9,18
19,0.78,0.15,0.66,1.0,1,78,1.0,1,15,3.8823529411764706,9,17
20,0.74,0.16,0.68,1.0,1,74,1.1428571428571428,2,14,3.5789473684210527,9,19
