seed,survival_A,survival_B,survival_C,avg_cluster_A,max_cluster_A,num_clusters_A,avg_cluster_B,max_cluster_B,num_clusters_B,avg_cluster_C,max_cluster_C,num_clusters_C
1,0.54,0.5,0.55,1.0,1,54,1.3157894736842106,4,38,1.5277777777777777,5,36
2,0.53,0.56,0.48,1.0,1,53,1.3333333333333333,3,42,1.3714285714285714,5,35
3,0.53,0.41,0.55,1.0,1,53,1.28125,5,32,1.6666666666666667,6,33
4,0.55,0.45,0.52,1.0,1,55,1.1842105263157894,3,38,1.4054054054054055,4,37
5,0.49,0.48,0.46,1.0,1,49,1.2972972972972974,4,37,1.3529411764705883,5,34
6,0.51,0.55,0.47,1.0,1,51,1.3414634146341464,4,41,1.3428571428571427,5,35
7,0.54,0.58,0.38,1.0,1,54,1.2608695652173914,4,46,1.2666666666666666,2,30
8,0.55,0.48,0.46,1.0,1,55,1.3333333333333333,4,36,1.3529411764705883,3,34
9,0.53,0.47,0.48,1.0,1,53,1.119047619047619,5,42,1.5,3,32
10,0.53,0.54,0.48,1.0,1,53,1.2857142857142858,3,42,1.3333333333333333,4,36
11,0.55,0.43,0.5,1.0,1,55,1.162162162162162,3,37,1.3513513513513513,3,37
12,0.52,0.49,0.34,1.0,1,52,1.2894736842105263,4,38,1.1333333333333333,4,30
13,0.45,0.5,0.44,1.0,1,45,1.3157894736842106,4,38,1.375,3,32
14,0.53,0.52,0.39,1.0,1,53,1.4054054054054055,4,37,1.3,3,30
15,0.47,0.54,0.48,1.0,1,47,1.2,3,45,1.4545454545454546,5,33
16,0.46,0.71,0.45,1.0,1,46,1.42,7,50,1.2162162162162162,5,37
17,0.48,0.57,0.46,1.0,1,48,1.5833333333333333,7,36,1.2777777777777777,3,36
18,0.52,0.55,0.49,1.0,1,52,1.5714285714285714,4,35,1.4411764705882353,4,34
19,0.5,0.53,0.4,1.0,1,50,1.5588235294117647,5,34,1.3333333333333333,4,30
20,0.5,0.46,0.49,1.0,1,50,1.393939393939394,3,33,1.3611111111111112,8,36
