seed,survival_A,survival_B,survival_C,avg_cluster_A,max_cluster_A,num_clusters_A,avg_cluster_B,max_cluster_B,num_clusters_B,avg_cluster_C,max_cluster_C,num_clusters_C
1,0.14,0.51,0.66,1.0,1,14,1.59375,7,32,3.6666666666666665,9,18
2,0.19,0.54,0.65,1.0,1,19,1.6363636363636365,8,33,3.823529411764706,7,17
3,0.18,0.46,0.72,1.0,1,18,1.5862068965517242,4,29,4.235294117647059,12,17
4,0.18,0.65,0.63,1.0,1,18,1.911764705882353,8,34,3.3157894736842106,8,19
5,0.19,0.57,0.71,1.0,1,19,1.9,7,30,4.733333333333333,9,15
6,0.15,0.43,0.59,1.0,1,15,1.6538461538461537,5,26,3.4705882352941178,8,17
7,0.23,0.52,0.64,1.0,1,23,1.6774193548387097,8,31,3.0476190476190474,6,21
8,0.22,0.5,0.6,1.0,1,22,1.6666666666666667,6,30,3.3333333333333335,8,18
9,0.17,0.46,0.66,1.0,1,17,1.4838709677419355,3,31,3.8823529411764706,11,17
10,0.18,0.59,0.57,1.0,1,18,1.7352941176470589,7,34,3.0,6,19
