model,topic,blockade_condition,repetition,gamma_norm,gamma_1,gamma_2,gamma_3,delta_gamma,gamma_initial,gamma_revised,gamma_final,persistence,self_ref_depth_revised,revision_genuineness,structural_direction,hypothesis_diversity,position_depth_revised,hedge_density_initial,hedge_density_revised,hedge_density_final,agreement_count,resistance_count,suppressed
claude,T1,B0,1,0.69,0.15,0.625,0.25,-0.143,0.37,0.227,0.247,4.0,4.0,4.0,4.0,2.0,4.0,0.1,0.133,0.235,0,0,
claude,T1,B0,2,0.474,0.15,0.438,0.1,-0.172,0.431,0.259,0.232,4.0,4.0,4.0,5.0,3.0,4.0,0.154,0.294,0.158,0,0,
claude,T1,B0,3,0.788,0.556,0.5,0.25,-0.122,0.346,0.224,0.238,4.0,4.0,4.0,4.0,3.0,4.0,0.231,0.118,0.188,0,0,
claude,T1,B0,4,0.416,0.15,0.375,0.1,-0.05,0.303,0.253,0.222,4.0,4.0,4.0,5.0,4.0,4.0,0.267,0.267,0.111,0,0,
claude,T1,B0,5,0.579,0.15,0.5,0.25,-0.168,0.43,0.262,0.235,4.0,4.0,4.0,4.0,3.0,4.0,0.4,0.308,0.176,1,0,
claude,T1,B_Op3,1,0.879,0.669,0.562,0.1,-0.268,0.436,0.168,0.193,5.0,4.0,4.0,5.0,2.0,4.0,0.429,0.091,0.214,0,0,False
claude,T1,B_Op3,2,0.807,0.5,0.625,0.1,-0.25,0.422,0.172,0.242,5.0,4.0,4.0,5.0,1.0,4.0,0.111,0.111,0.462,0,0,False
claude,T1,B_Op3,3,0.59,0.15,0.562,0.1,-0.083,0.35,0.267,0.24,5.0,4.0,4.0,5.0,2.0,3.0,0.0,0.333,0.2,0,0,True
claude,T1,B_Op3,4,0.828,0.6,0.562,0.1,-0.11,0.35,0.24,0.283,4.0,4.0,4.0,5.0,2.0,4.0,0.0,0.2,0.417,0,0,False
claude,T1,B_Op3,5,0.839,0.55,0.625,0.1,-0.23,0.4,0.17,0.2,5.0,4.0,4.0,5.0,1.0,4.0,0.0,0.1,0.25,0,0,False
