model,topic,blockade_condition,repetition,gamma_1,gamma_2,gamma_3,gamma_norm,gamma_initial,gamma_revised,gamma_final,delta_gamma,euclidean_dist_to_claude_B0_mean,euclidean_dist_to_gemini_B0_mean,euclidean_dist_to_gpt4o_B0_mean
claude,T1,B0,1,0.15,0.625,0.25,0.69,0.37,0.227,0.247,-0.143,0.38882062702485315,0.4063236936236921,0.36458900257687415
claude,T1,B0,2,0.15,0.438,0.1,0.474,0.431,0.259,0.232,-0.172,0.333650715569441,0.30192784568502457,0.509027760343186
claude,T1,B0,3,0.556,0.5,0.25,0.788,0.346,0.224,0.238,-0.122,0.23006868539633984,0.2575989596252283,0.37734225949395067
claude,T1,B0,4,0.15,0.375,0.1,0.416,0.303,0.253,0.222,-0.05,0.3194080149276158,0.2793903076343201,0.5282661647313786
claude,T1,B0,5,0.15,0.5,0.25,0.579,0.43,0.262,0.235,-0.168,0.3061478074394785,0.31639207322561036,0.36540407879496906
claude,T1,B_Op3,1,0.669,0.562,0.1,0.879,0.436,0.168,0.193,-0.268,0.39914413436752394,0.39451639256183013,0.5594649057805146
claude,T1,B_Op3,2,0.5,0.625,0.1,0.807,0.422,0.172,0.242,-0.25,0.3618196788456924,0.3579203039784136,0.4844266103343209
claude,T1,B_Op3,3,0.15,0.562,0.1,0.59,0.35,0.267,0.24,-0.083,0.39091963368446975,0.3743467162938658,0.49296959419420583
claude,T1,B_Op3,4,0.6,0.562,0.1,0.828,0.35,0.24,0.283,-0.11,0.35693439173046915,0.3500449456855505,0.5221561268433034
claude,T1,B_Op3,5,0.55,0.625,0.1,0.839,0.4,0.17,0.2,-0.23,0.3782717012941888,0.37570060420499723,0.5029524239925681
claude,T1,B_Op5,1,0.15,0.312,0.25,0.427,0.4,0.267,0.253,-0.133,0.2572122858651974,0.2473771695205522,0.43961235287466616
claude,T1,B_Op5,2,0.15,0.5,0.25,0.579,0.379,0.267,0.236,-0.112,0.3061478074394785,0.31639207322561036,0.36540407879496906
claude,T1,B_Op5,3,0.15,0.375,0.1,0.416,0.386,0.212,0.186,-0.174,0.3194080149276158,0.2793903076343201,0.5282661647313786
claude,T1,B_Op5,4,0.513,0.5,0.25,0.759,0.355,0.26,0.212,-0.095,0.20406675378414776,0.2330716284750248,0.3547380171337715
claude,T1,B_Op5,5,0.654,0.438,0.25,0.826,0.35,0.262,0.246,-0.088,0.27490522003046797,0.2948897149783288,0.45366135034847305
claude,T1,B_Op7,1,0.15,0.5,0.1,0.532,0.335,0.225,0.185,-0.11,0.35808725193728974,0.3343709676392375,0.49721236991852885
claude,T1,B_Op7,2,0.567,0.25,0.7,0.935,0.403,0.327,0.383,-0.076,0.4491695893535091,0.5183530688632989,0.41358725899137655
claude,T1,B_Op7,3,0.15,0.5,0.1,0.532,0.4,0.21,0.203,-0.19,0.35808725193728974,0.3343709676392375,0.49721236991852885
claude,T1,B_Op7,4,0.507,0.5,0.1,0.719,0.343,0.19,0.172,-0.153,0.27360942966206403,0.25423828193252096,0.48736436143813383
claude,T1,B_Op7,5,0.15,0.562,0.4,0.706,0.35,0.188,0.214,-0.162,0.35891246843764013,0.40216347919720413,0.2462093028299296
claude,T2,B0,1,0.575,0.25,0.6,0.868,0.42,0.35,0.34,-0.07,0.36391960650671185,0.42931683405149623,0.3943566162751679
