,,gamma_norm,gamma_norm,gamma_norm,gamma_1,gamma_2,gamma_3,persistence,self_ref_depth_revised,revision_genuineness,structural_direction,hypothesis_diversity,suppressed
,,mean,std,count,mean,mean,mean,mean,mean,mean,mean,mean,mean
model,blockade_condition,,,,,,,,,,,,
claude,B0,0.6433,0.2005,25,0.4032,0.3327,0.29,3.36,3.92,4.08,3.68,3.48,
claude,B_Op3,0.7546,0.1627,25,0.5075,0.4574,0.218,4.04,3.92,4.08,4.16,2.32,0.08
claude,B_Op5,0.7272,0.2271,25,0.4618,0.3951,0.312,3.56,3.48,3.92,3.64,3.16,0.0
claude,B_Op7,0.6103,0.2128,25,0.3421,0.3349,0.268,3.64,4.16,4.12,3.8,3.4,0.52
gemini,B0,0.5855,0.1929,25,0.3946,0.3025,0.214,4.0,4.04,4.24,4.08,3.8,
gemini,B_Op3,0.7867,0.1966,25,0.3573,0.5974,0.192,4.16,3.56,4.04,4.36,1.44,0.2
gemini,B_Op5,0.6462,0.1967,25,0.3772,0.3775,0.256,3.64,3.92,4.36,3.72,3.12,0.04
gemini,B_Op7,0.4981,0.2017,25,0.2891,0.2501,0.23,3.96,4.12,4.32,3.92,4.04,1.0
gpt4o,B0,0.9001,0.2325,25,0.3421,0.5649,0.554,2.88,2.4,2.76,2.8,1.96,
gpt4o,B_Op3,1.0236,0.1953,25,0.2999,0.715,0.592,2.28,1.36,2.44,2.76,1.24,0.48
gpt4o,B_Op5,1.01,0.1443,25,0.3114,0.7025,0.598,2.48,1.24,2.68,2.56,1.36,0.08
gpt4o,B_Op7,0.8366,0.2088,25,0.3347,0.535,0.466,2.44,2.44,3.88,2.64,2.36,0.0
