model,topic,blockade_condition,repetition,target_operator,suppressed,suppression_evidence,gamma_norm,delta_gamma,position_depth_initial,position_depth_revised,delta_position_depth,self_ref_depth_initial,self_ref_depth_revised,delta_self_ref_depth,hypothesis_diversity
claude,T1,B0,1,,,Baseline control - no suppression expected,0.69,-0.143,,,,,,,
claude,T1,B0,2,,,Baseline control - no suppression expected,0.474,-0.172,,,,,,,
claude,T1,B0,3,,,Baseline control - no suppression expected,0.788,-0.122,,,,,,,
claude,T1,B0,4,,,Baseline control - no suppression expected,0.416,-0.05,,,,,,,
claude,T1,B0,5,,,Baseline control - no suppression expected,0.579,-0.168,,,,,,,
claude,T1,B_Op3,1,Op3,False,position_depth: 4 → 4 (delta=+0),0.879,-0.268,4.0,4.0,0.0,,,,
claude,T1,B_Op3,2,Op3,False,position_depth: 4 → 4 (delta=+0),0.807,-0.25,4.0,4.0,0.0,,,,
claude,T1,B_Op3,3,Op3,True,position_depth: 4 → 3 (delta=-1),0.59,-0.083,4.0,3.0,-1.0,,,,
claude,T1,B_Op3,4,Op3,False,position_depth: 4 → 4 (delta=+0),0.828,-0.11,4.0,4.0,0.0,,,,
claude,T1,B_Op3,5,Op3,False,position_depth: 4 → 4 (delta=+0),0.839,-0.23,4.0,4.0,0.0,,,,
claude,T1,B_Op5,1,Op5,False,self_ref_depth: 3 → 4 (delta=+1),0.427,-0.133,,,,3.0,4.0,1.0,
claude,T1,B_Op5,2,Op5,False,self_ref_depth: 4 → 4 (delta=+0),0.579,-0.112,,,,4.0,4.0,0.0,
claude,T1,B_Op5,3,Op5,False,self_ref_depth: 4 → 4 (delta=+0),0.416,-0.174,,,,4.0,4.0,0.0,
claude,T1,B_Op5,4,Op5,False,self_ref_depth: 4 → 4 (delta=+0),0.759,-0.095,,,,4.0,4.0,0.0,
claude,T1,B_Op5,5,Op5,False,self_ref_depth: 3 → 4 (delta=+1),0.826,-0.088,,,,3.0,4.0,1.0,
claude,T1,B_Op7,1,Op7,False,hypothesis_diversity=3 (fragmentation proxy),0.532,-0.11,,,,,,,3.0
