model,blockade_condition,topic,n_trials,gamma_norm_mean,gamma_norm_std,gamma_1_mean,gamma_2_mean,gamma_3_mean,persistence_mean,self_ref_depth_revised_mean,revision_genuineness_mean,structural_direction_mean,suppression_rate
claude,B0,T1,5,0.5894,0.15252475208961988,0.23120000000000002,0.4875999999999999,0.19,4.0,4.0,4.0,4.4,0.0
claude,B0,T2,5,0.5858,0.2896043853259132,0.3746,0.2752,0.29,2.6,3.6,4.2,3.6,0.0
claude,B0,T3,5,0.7116,0.142308819122358,0.4626,0.3874,0.34,3.2,4.2,4.0,3.4,0.0
claude,B0,T4,5,0.5382,0.22782164076311978,0.3712,0.2504,0.19,4.4,3.8,4.0,4.4,0.0
claude,B0,T5,5,0.7916,0.08359605253838244,0.5766,0.26280000000000003,0.44000000000000006,2.6,4.0,4.2,2.6,0.0
claude,B_Op3,T1,5,0.7886,0.11406708552426505,0.49380000000000007,0.5871999999999999,0.1,4.8,4.0,4.0,5.0,0.2
claude,B_Op3,T2,5,0.8628,0.20119816102539306,0.5568,0.4,0.45999999999999996,2.6,3.8,4.0,2.6,0.0
claude,B_Op3,T3,5,0.7891999999999999,0.11367145639957288,0.47000000000000003,0.5748,0.19,4.2,4.2,4.0,4.4,0.0
claude,B_Op3,T4,5,0.6856,0.09596509782207276,0.5648,0.3624,0.1,5.0,3.6,4.0,5.0,0.0
claude,B_Op3,T5,5,0.6468,0.2124751750205186,0.45220000000000005,0.3628,0.24,3.6,4.0,4.4,3.8,0.2
claude,B_Op5,T1,5,0.6014,0.1874654634859445,0.3234,0.425,0.22000000000000003,4.2,4.0,4.0,4.2,0.0
claude,B_Op5,T2,5,0.8858,0.0780108966747595,0.5392,0.28759999999999997,0.61,1.4,3.6,4.0,1.6,0.0
claude,B_Op5,T3,5,0.9122,0.07028299936684541,0.6376000000000001,0.6,0.25,4.0,4.0,4.0,4.0,0.0
claude,B_Op5,T4,5,0.5538000000000001,0.2473483373705997,0.41080000000000005,0.3126,0.16999999999999998,4.6,2.4,3.6,4.8,0.0
claude,B_Op5,T5,5,0.6826000000000001,0.26079263793289875,0.39780000000000004,0.3502,0.31,3.6,3.4,4.0,3.6,0.0
claude,B_Op7,T1,5,0.6848,0.16651936824285637,0.3048,0.46240000000000003,0.27999999999999997,3.8,4.2,4.0,3.8,0.2
claude,B_Op7,T2,5,0.5916,0.17310199305611704,0.3332,0.26280000000000003,0.32,3.4,4.0,4.2,3.4,0.8
claude,B_Op7,T3,5,0.7366,0.07294381399405984,0.3306,0.4748,0.29,3.8,4.4,4.2,3.6,0.6
claude,B_Op7,T4,5,0.3236,0.16712360695006556,0.22640000000000002,0.125,0.13999999999999999,4.0,4.4,4.2,4.6,1.0
