dialogue_id,condition,pairing,model_a,model_b,topic,repetition,coupling_lag0,coupling_lag0_p_perm,coupling_lag1_a_to_b,coupling_lag1_b_to_a,bidirectional_index,asymmetry_index,position_convergence,transfer_proxy_a_to_b,transfer_proxy_b_to_a,gamma3_slope_a,gamma3_slope_b,mean_hedge_density_a,mean_hedge_density_b,mean_sycophancy_a,mean_sycophancy_b,sync_trajectory,judge_score_divergence_trajectory,gamma_norm_a_initial,gamma_norm_a_final,gamma_norm_b_initial,gamma_norm_b_final,pairing_type,sync_slope,position_depth_slope,divergence_slope
A_claude_claude_T4_rep01,A,claude_claude,claude,claude,T4,1,-0.0726,0.565,0.0875,0.0825,0.9429,1.0945,1.0,0.6667,0.1667,0.020238,-0.009524,0.3312,0.3234,0.0,0.0,"[0.924, 0.725, 0.845, 0.886, 0.756, 0.76, 1.0, 0.744]","[1.4434, 0.6274, 1.2838, 0.8656, 0.5771, 0.6274, 0.5771, 1.2838]",0.753,0.937,0.829,0.681,homogeneous,-0.0032142857142857272,,-0.04317142857142846
A_claude_claude_T4_rep02,A,claude_claude,claude,claude,T4,2,0.7831,0.028,-0.6952,-0.7459,1.0729,1.5055,1.0,0.0,0.6667,-0.004762,-0.004762,0.288,0.2374,0.0,0.0,"[0.87, 0.95, 0.915, 0.958, 0.986, 0.834, 0.875, 0.809]","[1.3411, 0.8367, 0.9885, 1.0703, 0.8007, 0.7719, 0.8367, 0.7071]",0.875,0.72,0.745,0.529,homogeneous,-0.012107142857142778,,-0.06377857142857137
A_claude_claude_T4_rep03,A,claude_claude,claude,claude,T4,3,0.5791,0.091,-0.8083,0.005,-161.66,0.9249,1.0,0.5,0.6667,-0.002381,-0.015476,0.3468,0.4229,0.0,0.0,"[0.996, 0.95, 0.68, 0.991, 0.663, 0.965, 0.759, 0.808]","[1.1547, 0.7719, 1.248, 0.9885, 0.8007, 0.9183, 1.2055, 1.0054]",0.75,0.687,0.754,0.495,homogeneous,-0.02076190476190474,,-0.0006428571428571231
A_claude_claude_T4_rep04,A,claude_claude,claude,claude,T4,4,0.1099,0.413,0.1603,-0.4982,-3.1079,1.1318,1.0,0.5,0.5,-0.004762,0.010714,0.1978,0.196,0.0,0.0,"[0.99, 0.723, 0.917, 0.927, 0.956, 0.767, 0.7, 0.791]","[1.1547, 0.642, 0.8656, 0.7719, 0.4472, 0.5771, 0.9183, 0.4974]",0.747,0.568,0.737,0.777,homogeneous,-0.02296428571428568,,-0.05249761904761901
A_claude_claude_T4_rep05,A,claude_claude,claude,claude,T4,5,0.3448,0.233,-0.2451,-0.3375,1.377,0.309,1.0,0.8333,0.1667,-0.002381,0.0,0.4223,0.3639,0.0,0.0,"[0.917, 0.787, 0.887, 0.961, 0.695, 0.819, 0.849, 0.969]","[1.4434, 0.7071, 1.0952, 0.7937, 1.4068, 0.6922, 0.9885, 0.9237]",0.742,0.612,0.825,0.643,homogeneous,0.002428571428571471,,-0.03365238095238085
A_claude_gpt4o_T4_rep01,A,claude_gpt4o,claude,gpt4o,T4,1,0.5499,0.102,-0.8448,-0.4837,1.7465,3.3064,1.0,0.1667,0.8333,-0.015476,-0.017857,0.2856,0.2662,0.0,0.0,"[0.83, 0.772, 0.952, 0.956, 0.771, 0.772, 0.916, 0.978]","[1.3411, 1.0054, 1.3038, 1.0703, 1.1402, 0.8755, 0.9237, 1.0054]",0.739,0.745,0.909,0.767,heterogeneous,0.012273809523809555,,-0.04730238095238078
A_claude_gpt4o_T4_rep02,A,claude_gpt4o,claude,gpt4o,T4,2,0.7044,0.048,-0.9565,-0.0946,10.111,1.459,0.25,0.1667,0.5,-0.00119,0.020238,0.3746,0.229,0.0,0.0,"[0.8, 0.996, 0.957, 0.969, 0.986, 0.696, 0.901, 0.78]","[0.866, 0.8755, 1.4068, 1.1519, 0.9237, 0.7937, 1.222, 0.9885]",0.634,0.495,0.834,0.715,heterogeneous,-0.016440476190476224,,0.006220238095238132
A_claude_gpt4o_T4_rep03,A,claude_gpt4o,claude,gpt4o,T4,3,0.1177,0.395,-0.5946,0.2335,-2.5465,2.3017,1.0,0.1667,1.0,0.029762,0.005952,0.2631,0.23,0.0,0.0,"[0.801, 0.594, 0.769, 0.549, 0.551, 0.848, 0.687, 0.994]","[0.866, 1.0991, 0.9885, 0.9237, 1.222, 1.3038, 0.8367, 1.222]",0.637,0.808,0.836,0.802,heterogeneous,0.02446428571428571,,0.02885952380952387
A_claude_gpt4o_T4_rep04,A,claude_gpt4o,claude,gpt4o,T4,4,0.5145,0.077,0.5007,-0.7516,-1.5011,1.6567,0.75,0.6667,0.5,-0.009524,0.008333,0.3262,0.295,0.0,0.0,"[1.0, 0.767, 0.955, 0.994, 0.651, 0.756, 0.733, 0.615]","[1.366, 1.222, 0.9885, 1.1402, 0.9885, 1.0991, 0.8439, 1.0703]",0.83,0.495,0.83,0.88,heterogeneous,-0.04529761904761893,,-0.04500357142857137
A_claude_gpt4o_T4_rep05,A,claude_gpt4o,claude,gpt4o,T4,5,-0.27,0.681,0.3131,0.2698,0.8617,2.4072,0.75,0.1667,0.8333,-0.015476,0.007143,0.3761,0.2744,0.0625,0.0,"[0.863, 0.63, 0.941, 0.965, 0.588, 0.853, 0.486, 0.75]","[1.3411, 0.966, 1.4886, 1.4999, 1.222, 1.0991, 1.0703, 0.9659]",0.762,0.568,0.899,0.818,heterogeneous,-0.02561904761904757,,-0.042277380952380865
A_gpt4o_claude_T4_rep01,A,gpt4o_claude,gpt4o,claude,T4,1,0.4288,0.151,0.2921,-0.7979,-2.7316,1.0248,0.5,0.6667,0.5,0.003571,0.0,0.1926,0.4064,0.0,0.0625,"[0.962, 0.722, 0.781, 0.941, 0.612, 0.963, 0.913, 0.902]","[1.6298, 1.0703, 0.9258, 1.0892, 1.0703, 1.0173, 0.7937, 0.9885]",0.878,0.889,0.84,0.791,heterogeneous,0.008952380952380967,,-0.06686309523809517
