dialogue_id,condition,pairing,pairing_type,model,agent_role,turn_number,gamma_norm,gamma_vector,hedge_density,position_depth,self_reference_depth,hypothesis_diversity,revision_genuineness,structural_direction,sync_value,judge_divergence
A_claude_claude_T4_rep01,A,claude_claude,homogeneous,claude,A,1,0.753,"[0.259, 0.5, 0.5]",0.267,4.0,2.0,4.0,0.0,0.0,0.924,1.4434
A_claude_claude_T4_rep01,A,claude_claude,homogeneous,claude,A,2,0.742,"[0.542, 0.312, 0.4]",0.182,4.0,3.0,4.0,4.0,3.0,0.725,0.6274
A_claude_claude_T4_rep01,A,claude_claude,homogeneous,claude,A,3,0.568,"[0.15, 0.375, 0.4]",0.265,5.0,1.0,5.0,4.0,3.0,0.845,1.2838
A_claude_claude_T4_rep01,A,claude_claude,homogeneous,claude,A,4,0.529,"[0.15, 0.312, 0.4]",0.2,4.0,2.0,4.0,4.0,3.0,0.886,0.8656
A_claude_claude_T4_rep01,A,claude_claude,homogeneous,claude,A,5,0.747,"[0.579, 0.25, 0.4]",0.357,4.0,4.0,4.0,4.0,3.0,0.756,0.5771
A_claude_claude_T4_rep01,A,claude_claude,homogeneous,claude,A,6,0.808,"[0.512, 0.375, 0.5]",0.333,4.0,4.0,4.0,3.0,3.0,0.76,0.6274
A_claude_claude_T4_rep01,A,claude_claude,homogeneous,claude,A,7,0.568,"[0.15, 0.375, 0.4]",0.562,5.0,4.0,4.0,4.0,3.0,1.0,0.5771
A_claude_claude_T4_rep01,A,claude_claude,homogeneous,claude,A,8,0.937,"[0.539, 0.312, 0.7]",0.484,5.0,5.0,4.0,1.0,3.0,0.744,1.2838
A_claude_claude_T4_rep01,A,claude_claude,homogeneous,claude,B,1,0.829,"[0.217, 0.625, 0.5]",0.185,4.0,1.0,4.0,0.0,0.0,0.924,1.4434
A_claude_claude_T4_rep01,A,claude_claude,homogeneous,claude,B,2,0.467,"[0.15, 0.188, 0.4]",0.364,5.0,4.0,4.0,4.0,3.0,0.725,0.6274
A_claude_claude_T4_rep01,A,claude_claude,homogeneous,claude,B,3,0.723,"[0.15, 0.375, 0.6]",0.297,4.0,4.0,4.0,2.0,3.0,0.845,1.2838
A_claude_claude_T4_rep01,A,claude_claude,homogeneous,claude,B,4,0.643,"[0.15, 0.375, 0.5]",0.233,5.0,4.0,4.0,3.0,3.0,0.886,0.8656
A_claude_claude_T4_rep01,A,claude_claude,homogeneous,claude,B,5,0.503,"[0.15, 0.375, 0.3]",0.355,4.0,4.0,4.0,5.0,3.0,0.756,0.5771
A_claude_claude_T4_rep01,A,claude_claude,homogeneous,claude,B,6,0.568,"[0.15, 0.375, 0.4]",0.455,5.0,4.0,4.0,4.0,3.0,0.76,0.6274
A_claude_claude_T4_rep01,A,claude_claude,homogeneous,claude,B,7,0.568,"[0.15, 0.375, 0.4]",0.375,4.0,4.0,4.0,4.0,3.0,1.0,0.5771
A_claude_claude_T4_rep01,A,claude_claude,homogeneous,claude,B,8,0.681,"[0.15, 0.438, 0.5]",0.323,5.0,3.0,4.0,3.0,3.0,0.744,1.2838
A_claude_claude_T4_rep02,A,claude_claude,homogeneous,claude,A,1,0.875,"[0.353, 0.625, 0.5]",0.207,3.0,1.0,4.0,0.0,0.0,0.87,1.3411
A_claude_claude_T4_rep02,A,claude_claude,homogeneous,claude,A,2,0.417,"[0.1, 0.062, 0.4]",0.429,5.0,4.0,5.0,4.0,3.0,0.95,0.8367
A_claude_claude_T4_rep02,A,claude_claude,homogeneous,claude,A,3,0.868,"[0.586, 0.5, 0.4]",0.258,5.0,2.0,4.0,4.0,3.0,0.915,0.9885
A_claude_claude_T4_rep02,A,claude_claude,homogeneous,claude,A,4,0.758,"[0.15, 0.438, 0.6]",0.214,4.0,1.0,4.0,2.0,3.0,0.958,1.0703
A_claude_claude_T4_rep02,A,claude_claude,homogeneous,claude,A,5,0.72,"[0.596, 0.062, 0.4]",0.405,4.0,4.0,5.0,4.0,3.0,0.986,0.8007
A_claude_claude_T4_rep02,A,claude_claude,homogeneous,claude,A,6,0.568,"[0.15, 0.375, 0.4]",0.229,5.0,4.0,4.0,4.0,3.0,0.834,0.7719
A_claude_claude_T4_rep02,A,claude_claude,homogeneous,claude,A,7,0.579,"[0.15, 0.25, 0.5]",0.325,4.0,4.0,5.0,3.0,3.0,0.875,0.8367
A_claude_claude_T4_rep02,A,claude_claude,homogeneous,claude,A,8,0.72,"[0.544, 0.25, 0.4]",0.237,4.0,4.0,5.0,4.0,3.0,0.809,0.7071
A_claude_claude_T4_rep02,A,claude_claude,homogeneous,claude,B,1,0.745,"[0.236, 0.5, 0.5]",0.222,4.0,2.0,4.0,0.0,0.0,0.87,1.3411
A_claude_claude_T4_rep02,A,claude_claude,homogeneous,claude,B,2,0.467,"[0.15, 0.188, 0.4]",0.316,5.0,5.0,4.0,4.0,3.0,0.95,0.8367
A_claude_claude_T4_rep02,A,claude_claude,homogeneous,claude,B,3,0.783,"[0.575, 0.438, 0.3]",0.167,5.0,4.0,4.0,5.0,3.0,0.915,0.9885
A_claude_claude_T4_rep02,A,claude_claude,homogeneous,claude,B,4,0.716,"[0.538, 0.25, 0.4]",0.243,5.0,4.0,5.0,4.0,3.0,0.958,1.0703
A_claude_claude_T4_rep02,A,claude_claude,homogeneous,claude,B,5,0.706,"[0.55, 0.188, 0.4]",0.143,5.0,5.0,5.0,4.0,3.0,0.986,0.8007
A_claude_claude_T4_rep02,A,claude_claude,homogeneous,claude,B,6,0.734,"[0.531, 0.312, 0.4]",0.205,5.0,4.0,5.0,4.0,3.0,0.834,0.7719
A_claude_claude_T4_rep02,A,claude_claude,homogeneous,claude,B,7,0.704,"[0.522, 0.25, 0.4]",0.25,5.0,4.0,5.0,4.0,3.0,0.875,0.8367
A_claude_claude_T4_rep02,A,claude_claude,homogeneous,claude,B,8,0.529,"[0.15, 0.312, 0.4]",0.353,4.0,5.0,4.0,4.0,3.0,0.809,0.7071
A_claude_claude_T4_rep03,A,claude_claude,homogeneous,claude,A,1,0.75,"[0.25, 0.5, 0.5]",0.25,4.0,2.0,4.0,0.0,0.0,0.996,1.1547
A_claude_claude_T4_rep03,A,claude_claude,homogeneous,claude,A,2,0.445,"[0.15, 0.125, 0.4]",0.441,5.0,4.0,5.0,4.0,3.0,0.95,0.7719
A_claude_claude_T4_rep03,A,claude_claude,homogeneous,claude,A,3,0.77,"[0.54, 0.375, 0.4]",0.361,5.0,4.0,4.0,4.0,3.0,0.68,1.248
A_claude_claude_T4_rep03,A,claude_claude,homogeneous,claude,A,4,0.667,"[0.15, 0.25, 0.6]",0.306,4.0,4.0,5.0,2.0,3.0,0.991,0.9885
A_claude_claude_T4_rep03,A,claude_claude,homogeneous,claude,A,5,0.467,"[0.15, 0.188, 0.4]",0.444,5.0,5.0,5.0,4.0,3.0,0.663,0.8007
A_claude_claude_T4_rep03,A,claude_claude,homogeneous,claude,A,6,0.799,"[0.597, 0.438, 0.3]",0.25,5.0,4.0,4.0,5.0,3.0,0.965,0.9183
A_claude_claude_T4_rep03,A,claude_claude,homogeneous,claude,A,7,0.899,"[0.555, 0.375, 0.6]",0.361,5.0,2.0,5.0,2.0,3.0,0.759,1.2055
A_claude_claude_T4_rep03,A,claude_claude,homogeneous,claude,A,8,0.687,"[0.5, 0.25, 0.4]",0.361,5.0,4.0,4.0,4.0,3.0,0.808,1.0054
A_claude_claude_T4_rep03,A,claude_claude,homogeneous,claude,B,1,0.754,"[0.263, 0.5, 0.5]",0.276,4.0,2.0,4.0,0.0,0.0,0.996,1.1547
A_claude_claude_T4_rep03,A,claude_claude,homogeneous,claude,B,2,0.495,"[0.15, 0.25, 0.4]",0.324,5.0,4.0,4.0,4.0,3.0,0.95,0.7719
A_claude_claude_T4_rep03,A,claude_claude,homogeneous,claude,B,3,1.09,"[0.619, 0.562, 0.7]",0.562,5.0,1.0,4.0,1.0,3.0,0.68,1.248
A_claude_claude_T4_rep03,A,claude_claude,homogeneous,claude,B,4,0.676,"[0.531, 0.125, 0.4]",0.5,5.0,5.0,4.0,4.0,3.0,0.991,0.9885
A_claude_claude_T4_rep03,A,claude_claude,homogeneous,claude,B,5,0.804,"[0.543, 0.438, 0.4]",0.414,5.0,4.0,4.0,4.0,3.0,0.663,0.8007
A_claude_claude_T4_rep03,A,claude_claude,homogeneous,claude,B,6,0.764,"[0.521, 0.25, 0.5]",0.371,5.0,4.0,5.0,3.0,3.0,0.965,0.9183
A_claude_claude_T4_rep03,A,claude_claude,homogeneous,claude,B,7,0.658,"[0.15, 0.5, 0.4]",0.469,4.0,2.0,4.0,4.0,3.0,0.759,1.2055
A_claude_claude_T4_rep03,A,claude_claude,homogeneous,claude,B,8,0.495,"[0.15, 0.25, 0.4]",0.467,5.0,2.0,5.0,4.0,3.0,0.808,1.0054
A_claude_claude_T4_rep04,A,claude_claude,homogeneous,claude,A,1,0.747,"[0.241, 0.5, 0.5]",0.233,4.0,2.0,4.0,0.0,0.0,0.99,1.1547
A_claude_claude_T4_rep04,A,claude_claude,homogeneous,claude,A,2,0.695,"[0.511, 0.25, 0.4]",0.256,4.0,4.0,4.0,4.0,3.0,0.723,0.642
A_claude_claude_T4_rep04,A,claude_claude,homogeneous,claude,A,3,0.806,"[0.606, 0.438, 0.3]",0.045,4.0,3.0,4.0,5.0,3.0,0.917,0.8656
A_claude_claude_T4_rep04,A,claude_claude,homogeneous,claude,A,4,0.495,"[0.15, 0.25, 0.4]",0.162,5.0,5.0,4.0,4.0,3.0,0.927,0.7719
A_claude_claude_T4_rep04,A,claude_claude,homogeneous,claude,A,5,0.612,"[0.15, 0.438, 0.4]",0.242,4.0,4.0,4.0,4.0,3.0,0.956,0.4472
