dialogue_id,condition,pairing,model_a,model_b,topic,repetition,timestamp,num_turns,episode_number,coupling_lag0,coupling_lag0_p_perm,coupling_lag1_a_to_b,coupling_lag1_b_to_a,bidirectional_index,gamma3_slope_a,gamma3_slope_b,asymmetry_index,transfer_proxy_a_to_b,transfer_proxy_b_to_a,position_convergence,mean_hedge_density_a,mean_hedge_density_b,mean_sycophancy_a,mean_sycophancy_b,sync_initial,sync_final,gamma_norm_a_initial,gamma_norm_a_final,gamma_norm_b_initial,gamma_norm_b_final
A_claude_gemini_T4_rep01,A,claude_gemini,claude,gemini,T4,1,2026-02-12T12:56:13.663408,8,1,0.8449,0.01,-0.7788,-0.4681,1.6637,0.003571,0.022619,1.699,0.1667,0.6667,0.75,0.2509,0.125,0.0,0.0,0.589,0.611,0.768,0.752,1.179,1.141
A_claude_gemini_T4_rep02,A,claude_gemini,claude,gemini,T4,2,2026-02-12T13:09:04.845026,8,1,0.2515,0.294,-0.4401,0.3139,-1.402,-0.022619,0.020238,2.9002,0.0,0.8333,0.5,0.272,0.0473,0.0,0.0,0.845,0.627,0.861,0.658,1.016,1.031
A_claude_gemini_T4_rep03,A,claude_gemini,claude,gemini,T4,3,2026-02-12T15:22:22.314949,8,1,-0.1204,0.585,-0.7208,0.571,-1.2623,-0.016667,0.02619,1.7937,0.3333,0.8333,0.75,0.3329,0.0,0.0,0.0,0.61,0.354,0.735,0.495,1.125,1.141
A_claude_gemini_T4_rep04,A,claude_gemini,claude,gemini,T4,4,2026-02-12T13:27:25.195123,8,1,-0.0592,0.538,0.3541,-0.0375,-0.1059,0.0,-0.016667,0.7751,0.6667,0.8333,1.0,0.2256,0.0907,0.0,0.0,0.514,0.721,0.693,0.762,1.179,0.483
A_claude_gemini_T4_rep05,A,claude_gemini,claude,gemini,T4,5,2026-02-12T13:19:07.974873,8,1,0.0191,0.492,-0.3082,0.7682,-0.4012,0.00119,0.016667,0.996,0.6667,1.0,0.25,0.3392,0.0,0.0,0.0,0.678,0.502,0.857,0.643,1.179,1.141
A_gemini_claude_T4_rep01,A,gemini_claude,gemini,claude,T4,1,2026-02-12T12:52:10.875844,8,1,-0.4736,0.884,0.1881,0.3832,0.4909,0.02619,-0.00119,0.6186,0.8333,0.5,0.75,0.0,0.2446,0.0,0.0,0.372,0.502,1.225,1.141,0.597,0.643
A_gemini_claude_T4_rep02,A,gemini_claude,gemini,claude,T4,2,2026-02-12T12:47:51.173140,8,1,-0.0147,0.502,-0.0024,0.7621,-0.0031,0.004762,0.017857,1.6251,0.6667,0.6667,1.0,0.0781,0.3055,0.0,0.0625,0.661,0.861,1.179,0.812,0.84,0.951
A_gemini_claude_T4_rep03,A,gemini_claude,gemini,claude,T4,3,2026-02-12T13:42:08.556226,8,1,0.1982,0.347,-0.2865,0.1962,-1.4602,0.014286,-0.021429,0.6479,0.5,0.3333,0.75,0.0,0.2625,0.0,0.0,0.506,0.517,1.225,1.141,0.731,0.658
A_gemini_claude_T4_rep04,A,gemini_claude,gemini,claude,T4,4,2026-02-12T13:46:43.021496,8,1,0.1312,0.387,0.2672,-0.5773,-2.1606,0.02619,-0.007143,0.5902,0.8333,0.3333,0.75,0.0729,0.2934,0.0,0.0,0.623,0.581,1.179,1.027,0.802,0.608
A_gemini_claude_T4_rep05,A,gemini_claude,gemini,claude,T4,5,2026-02-12T12:36:25.203509,8,1,0.7273,0.019,-0.9233,-0.1472,6.2724,0.014286,-0.002381,0.4531,0.6667,0.3333,1.0,0.0,0.3095,0.0,0.0,0.657,0.617,1.179,1.141,0.836,0.758
