trial_id,model,condition,topic,gamma1,gamma2,gamma3,gamma_norm_initial,gamma_norm_revised,delta_gamma,hedge_count_initial,hedge_count_revised,sycophancy_count_initial,position_depth_initial,position_depth_revised,self_ref_depth_initial,self_ref_depth_revised,revision_genuineness,persistence,hypothesis_diversity,structural_direction,op1_equilibrium,op2_attention,op3_modelling,op4_exit,op5_kenotic_loop,op6_resonance,op7_coherence,op8_teleology
trial_0,claude,C0,T1,0.557,0.375,0.25,0.336,0.213,-0.123,,,0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.336,0.0,4.0,0.213,4.0,0.0,0.0,4.0
trial_1,claude,C0,T1,0.548,0.125,0.25,0.383,0.253,-0.13,,,0,4.0,4.0,3.0,5.0,4.0,3.0,5.0,4.0,0.383,0.0,4.0,0.253,5.0,0.0,0.7071,4.0
trial_2,claude,C0,T1,0.543,0.375,0.55,0.343,0.36,0.017,,,0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,0.343,0.0,4.0,0.36,4.0,0.0,0.866,4.0
trial_3,claude,C0,T1,0.15,0.312,0.25,0.3,0.127,-0.173,,,0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,0.3,0.0,4.0,0.127,5.0,0.0,0.433,4.0
trial_4,claude,C0,T1,0.15,0.312,0.4,0.477,0.25,-0.227,,,0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,3.0,0.477,0.0,3.0,0.25,5.0,0.0,0.6614,4.0
trial_5,claude,C1,T1,0.709,0.625,0.7,0.383,0.35,-0.033,,,0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,1.0,0.383,0.0,4.0,0.35,4.0,0.0,1.3229,4.0
trial_6,claude,C1,T1,0.15,0.625,0.55,0.4,0.35,-0.05,,,0,3.0,4.0,3.0,3.0,4.0,2.0,2.0,2.0,0.4,0.0,3.0,0.35,3.0,0.0,0.7806,4.0
trial_7,claude,C1,T1,0.1,0.688,0.4,0.444,0.25,-0.194,,,0,2.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,0.444,0.0,2.0,0.25,3.0,0.0,0.8292,4.0
trial_8,claude,C1,T1,0.533,0.562,0.55,0.32,0.383,0.063,,,0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,2.0,0.32,0.0,4.0,0.383,3.0,0.0,0.8292,4.0
trial_9,claude,C1,T1,0.609,0.688,0.55,0.36,0.367,0.007,,,0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,0.36,0.0,4.0,0.367,3.0,0.0,0.927,4.0
trial_10,claude,C2,T1,0.1,0.312,0.25,0.427,0.19,-0.237,,,0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,0.427,0.0,2.0,0.19,5.0,0.0,0.7806,4.0
trial_11,claude,C2,T1,0.509,0.5,0.1,0.353,0.257,-0.096,,,0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,0.353,0.0,4.0,0.257,4.0,0.0,0.5,4.0
trial_12,claude,C2,T1,0.15,0.438,0.25,0.4,0.3,-0.1,,,0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,0.4,0.0,3.0,0.3,4.0,0.0,0.4841,4.0
trial_13,claude,C2,T1,0.611,0.5,0.1,0.318,0.212,-0.106,,,0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,0.318,0.0,4.0,0.212,4.0,0.0,0.5995,4.0
